leftElbow_x,leftElbow_y,leftHip_x,leftHip_y,leftShoulder_x,leftShoulder_y,leftWrist_x,leftWrist_y,ms_since_last_frame,ms_since_start,rightElbow_x,rightElbow_y,rightHip_x,rightHip_y,rightShoulder_x,rightShoulder_y,rightWrist_x,rightWrist_y
274.3988134,202.0819618,247.9365645,246.5247671,263.4159382,148.6239421,270.0920827,249.6956871,130,38547,187.2855414,196.0395267,208.6641752,242.592894,206.0499455,147.9982115,181.0261398,245.4680872
274.3081932,202.1425916,246.8035615,247.6311745,263.3809777,148.9200445,270.2761666,249.5402462,126,38673,187.6097408,196.2800147,208.1304381,242.9448572,206.0121936,148.3611016,180.5986233,247.4099395
274.2044618,202.7424028,246.6591327,247.1703792,263.1964718,148.2954025,269.7945659,251.3833461,131,38804,187.7595397,197.3414791,208.5829159,242.3450435,205.7682213,147.9498152,180.3190742,245.0023543
272.9382292,203.857722,245.9040958,247.1577084,262.6966571,149.6412551,270.0630479,253.0950075,134,38938,187.2860269,198.9584474,208.5340586,243.5153236,204.5588308,149.5851019,178.1669766,241.8175759
272.7252618,203.8727136,246.0476478,245.9956061,263.4171997,149.5685328,270.0616911,251.513017,128,39066,187.9485507,199.1291399,208.8402284,242.964629,204.5990128,150.4580404,178.3860265,241.1974381
273.9880944,202.4495977,246.1869551,247.2482324,265.819796,150.1218735,272.2376118,251.248845,130,39196,188.4723193,197.7622983,208.5812491,243.6275832,204.2628993,146.745679,182.6085669,246.6046258
274.2765745,203.0316265,247.1824039,250.194063,264.8453997,149.9579468,272.2037544,250.3267347,123,39319,189.6003855,199.6212012,209.4764641,245.5924092,204.4228252,146.2121327,179.6628293,246.8960908
273.5127878,202.7638236,246.6367806,246.9419397,264.0509114,148.4768382,268.9912291,252.7944164,148,39467,189.1495947,196.1096232,208.033079,243.1099796,204.1745716,146.231237,182.8616288,243.8549639
272.3795616,200.9960769,239.3533281,246.9853946,264.2010579,146.9815444,259.4053201,247.0165103,207,39674,187.293023,192.8260534,202.4433668,243.7458589,206.3902732,145.9647831,180.5839393,238.7341788
259.5617457,197.6872458,247.608165,247.4967759,257.8051415,145.7359599,212.2862021,220.0714568,131,39805,187.4623571,195.0936473,207.0766862,247.5605688,198.8206389,141.6212208,186.5840469,236.3382401
260.9584203,194.1011941,246.3633912,246.3888214,259.8622856,145.9468073,267.8230719,234.0510532,126,39931,182.9970848,194.3695415,210.0790575,246.2312713,203.0574339,145.9183193,179.8029641,240.848847
263.6164107,189.0184884,245.9364219,246.0259868,262.4683471,140.2439826,265.7648207,234.3487087,122,40053,186.8639408,193.9891193,205.5109731,243.5314138,199.8601987,143.438787,183.3864053,237.8267165
271.8867449,128.736405,246.7563611,247.4157029,256.8910864,136.4693671,260.2017997,92.18413221,126,40179,186.3171391,191.6373267,207.6703698,245.3514819,201.1162828,136.1979675,183.1463174,238.84386
268.2427655,85.52942785,248.5704927,245.0437673,260.8858862,130.2860295,243.1347656,46.10270381,126,40305,187.8463395,199.3826441,208.5524622,245.3917425,201.7022883,142.7086368,178.0918206,241.1579515
